Date Viewpoint,Account Name,Account Super Region,account_managed_by_name,account_record_type,account_region,account_vrbo_connected,Agent Vendor Super Region Name,area_mgmt_territory_name,attribute,Auto Chase Enabled,auto_chase_category,auto_chase_category_name,auto_chase_status,billable_group,Booking System Name,booking_pos,Case Category,Case Channel,Case Origin,Case Origin (group),Case Queue Name,Case Record Type,Case Resolution Category,Case Subtopic,Case Type,Case Worked in VRBO Instance Exclusion,case_has_incoming_email,case_has_outgoing_email,case_language (group),case_number,case_record_type,case_resolution_type,case_status,Cases with Flow Used Ind,Channel Group,claim_number_list,claim_reason_list,claim_status_list,claim_subtype_list,claim_type_list,CoBrowse Used,connectivity_platform,connectivity_status,connectivity_system_name,connectivity_system_vendor,connectivity_type,cross_support_line_of_business,Date (Range),Date (Relative),department,DUET Experience Area,eg_brand_name,Employee Name,Employee Title,employee_role_name,Has Child Cases,High Impact Event Flag,Is Canceled?,Is MUVR?,issue_type_list,legal_inquiry,Line of Business,Manager Name,mkt_mgmt_territory_name,Omni Level Indicator,Package Indicator,Parent Chain Name,parentid,Partner Segment,payment_method_list,post_training_tenure,post_training_tenure_at_case_close,Primary Category,Property Brand,Property Country Name,Property Service Tier,Property Tenure Distribution,Property_Market,Property_Region,Property_SuperRegion,reimbursement_type_list,request_category,resolution_outcome_indicator,resolution_sub_category,Secondary Category,SF Initiative,standard_exclusions,Strategic Accounts Flag,Supply System Name,survey_response_id,territory_enterprise_account_tf,territory_name,territory_sub_tier,territory_super_region,territory_tier,User Routing Profile,User_Office_Location,Vendor Name,VIP Access Enabled,vrbo_brand_name,vrbo_partner_type,vrbo_person_type,vrbo_premier_partner,vrbo_region,vrbo_super_region,WFM Staff Group,WFM Super Region,work_function,work_tier,Workforce Staff Function,expedia_hotelid,request_count,star_rating,territory_enterprise_account,total_property_count,account_management_service_tier,case_language,Handle Time Outlier,Is_ClosedCase,resolution_category,user_agent_queue_group_name,user_routing_profile,Vendor Group,AHT due to Misroutes,aht_due_to_misrouted_hours,AI Generated Summary Used,Avg. Time to Case Closure (days),Case AHT (mins),Case Closure SLA ,Case Working SLA % ,case_misrouted_count,Co-Browse Usage %,Distinct Cases,DUET Score,DUET Score | Whole,Flow Completion %,logged_hrs_incld_in_aht,Misrouted Cases,Overall Performance to AHT Target,PSAT Score,PSAT Score | Whole,THT due to Misroutes
7/27/2026 12:00:00 AM,La Gioiosa (93456962),EMEA,,Hotel,Italy and Malta,False,EMEA,PGA AM EMEA Hotel Italy AMT,Conventional Lodging,Not Enabled,,,,LPS MO-Allocated,,Unknown,,Phone,Phone,Phone,,Lodging Financial Support,System/Policy explained,Expedia Virtual Card,EVC,False,False,True,English,156121184,Lodging Financial Support,Information/Training Provided,Closed,0,Phone,,,,,,No,EQC,Connected,Simple Booking Channel Manager,QNT S.r.l - Simple Booking (Zucchetti Group),BR,No Additional Support,2026-07-30,7/30/2026,,Manage Payments,,Alessandro Passariello,,Vendor Associate,Yes,N,False,False,,False,TPSP Hotel Partner,Emilie McKenzie,PGA AM EMEA Hotel Italy MMA,Finance Basic,,Independent,,C,,Less Than 180 Days,Less Than 180 Days,Requesting EVC Details,Independent,Italy,Classic,3-5 Years,"Riviera Delle Palme, Italy",Italy and Malta,EMEA,,,,,System Bug,,Reportable Case,Non-SA,,,,,,,,Voice_AC_HPO_IT_PRI_FIN_RLO,Milan,Orchidea,False,,,,,,,INBOUND CALLS,AMERICAS,Basic,UNMAPPED,LPA,93456962,1,,,1,Classic,English,0,1,System/Policy explained,Operations_HP_Support,Voice_AC_HPO_IT_PRI_FIN_RLO,Orchidea,,0,0,1,25.2,,,0,0,1,,,0,0.42,0,1.05,,,
7/27/2026 12:00:00 AM,Villa De Cillis Carafa (96290540),EMEA,,Hotel,Italy and Malta,False,EMEA,PGA AM EMEA Hotel Italy AMT,Conventional Lodging,Not Enabled,,,,LPS MO-Allocated,,Unknown,,Phone,Phone,Phone,,Technical,Self Service not applicable,Supplier Initiated Traveler Contact,Supplier Initiated Traveler Contact,False,False,True,English,156032046,Technical,Request Processed,Closed,0,Phone,,,,,,No,EQC,Connected,Hotel.BB,Hotel.BB - Beddy (Zucchetti Group),BR,No Additional Support,2026-07-27,7/27/2026,,Manage Reservations,,Viktoriia Lavrinets,,Vendor Associate,No,N,False,False,,False,TPSP Hotel Partner,Emilie McKenzie,PGA AM EMEA Hotel Italy MMA,Supplier Traveler Contact,,Independent,,C,,Less Than 180 Days,Less Than 180 Days,Traveler Contact,Independent,Italy,Core,3-5 Years,Pompei - Ercolano,Italy and Malta,EMEA,,,,,Reservation Confirmation & Check-in Instructions,,Reportable Case,Non-SA,,,,,,,,Voice_AC_HPO_IT_PRI_FIN_RLO,Milan,Orchidea,True,,,,,,,Relocation,AMERICAS,Basic,UNMAPPED,LPA,96290540,1,,,1,Core,English,0,1,Self Service not applicable,Operations_HP_Support,Voice_AC_HPO_IT_PRI_FIN_RLO,Orchidea,,0,0,0,9,1,,0,0,1,,,0,0.15,0,,,,
7/27/2026 12:00:00 AM,Palazzo Carrano (133459032),EMEA,,Hotel,Italy and Malta,False,EMEA,PGA AM EMEA Hotel Italy AMT,Conventional Lodging,Not Enabled,,,,LPS MO-Allocated,,Unknown,,Phone,Phone,Phone,,"Product, Rates, and Inventory",Case Transfer,New Contract,New Contract,False,False,False,English,156122214,"Product, Rates, and Inventory",Request Processed,Closed - Transferred,0,Phone,,,,,,No,EQC,Connected,WuBook Srl,Wubook Srl,AR,Startek,2026-07-29,7/29/2026,,Manage Rates & Inventory,,Alessandro Passariello,,Vendor Associate,Yes,N,False,False,,False,TPSP Hotel Partner,Emilie McKenzie,PGA AM EMEA Hotel Italy MMA,New Contract,,Independent,,C,,Less Than 180 Days,Less Than 180 Days,Recontracting,Independent,Italy,Lite,0-3 Months,"Amalfi Coast, Italy",Italy and Malta,EMEA,,,,,Business Model Change,,Reportable Case,Non-SA,,,,,,,,Voice_AC_HPO_IT_PRI_FIN_RLO,Milan,Orchidea,False,,,,,,,INBOUND CALLS,AMERICAS,Advanced,UNMAPPED,LPA,133459032,1,,,1,Lite,English,0,1,Case Transfer,Operations_HP_Support,Voice_AC_HPO_IT_PRI_FIN_RLO,Orchidea,,0,0,0,8.4,1,,0,0,1,,,0,0.14,0,0.35,,,
7/27/2026 12:00:00 AM,12  Bedroom 9.5 Bathroom 4792sq Foot Villa On Solterra Resort  (34439731),AMER,,Hotel,Florida,False,EMEA,,Conventional Lodging,Not Enabled,,,,,,Unknown,,Phone,Phone,Phone,,Partner Support,Call Transfer,Non-Branded,Call Assignment,False,False,False,English,156243969,Partner Support,Request Processed,Closed,0,Phone,,,,,,No,,,,,,Unspecified,2026-08-01,8/1/2026,,,,Eros Allonato,Agent,Vendor Associate,No,N,False,False,,False,Mixed,Emilie McKenzie,,Call Assignment,,Independent,,Unsegmented,,Less Than 365 Days,Less Than 365 Days,(None Selected),Independent,United States of America,,,"Orlando, FL",Florida,AMER,,,,,(None Selected),,Reportable Case,Non-SA,,,,,,,,Voice_AC_HPO_IT_PRI_FIN_RLO,Milan,Orchidea,False,HomeAway,platform,pm,False,North America,Americas,,,Call Assignment,T1,,34439731,1,2,,1,,English,0,1,Call Transfer,Operations_HP_Support,Voice_AC_HPO_IT_PRI_FIN_RLO,Orchidea,,0,0,0,4.8,,,0,0,1,,,0,0.08,0,,,,
7/27/2026 12:00:00 AM,Villa Torre Bianca by Emily Hotels (17855062),EMEA,Onni Group,Hotel,Italy and Malta,False,EMEA,Italy - Southern Italy & Malta AMT,Conventional Lodging,Not Enabled,,,,LPS MO-Allocated,,Unknown,,Phone,Phone,Phone,,"Product, Rates, and Inventory",System/Policy explained,Policy Clarification,Property Settings,False,False,False,English,156208249,"Product, Rates, and Inventory",Information/Training Provided,Closed,0,Phone,,,,,,No,EC,Disconnected,ErmesHotels,FOX TECHNOLOGIES S.R.L.,BN,No Additional Support,2026-07-31,7/31/2026,,,,Alessandro Passariello,,Vendor Associate,No,N,False,False,,False,TPSP Hotel Partner,Emilie McKenzie,Italy - Southern Italy 6 MMA,Content Basic,,Independent,,B,,Less Than 180 Days,Less Than 180 Days,Policy Clarification,Independent,Italy,Prime,5-10 Years,"Bari Province, Italy",Italy and Malta,EMEA,,,,,(None Selected),,Reportable Case,Non-SA,,,,,,,,Voice_AC_HPO_IT_PRI_FIN_RLO,Milan,Orchidea,True,,,,,,,INBOUND CALLS,VIP Priority,Basic,UNMAPPED,LPA,17855062,1,5,,1,Prime,English,0,1,System/Policy explained,Operations_HP_Support,Voice_AC_HPO_IT_PRI_FIN_RLO,Orchidea,,0,0,0,12,1,,0,0,1,,,0,0.2,0,0.5,,,
7/27/2026 12:00:00 AM,EQC hotel - 9 (1780041),EMEA,,Hotel,Eastern Med and Central-Eastern Europe,False,EMEA,,Conventional Lodging,Not Enabled,,,,LPS MO-Allocated,,Unknown,,Others,Transferred from Phone,Other,,Traveler,Directed to Self Service,Supplier Relocation,Supplier Initiated Relocation,False,False,False,English,156031540,Traveler,Information/Training Provided,Closed,0,Asynchronous Cases,,,,,,No,EQC,Disconnected,Profitroom,Profitroom,BR,No Additional Support,2026-07-27,7/27/2026,,Manage Reservations,,Leonardo Cengia,Agent,Vendor Associate,No,N,False,False,,False,TPSP Hotel Partner,Emilie McKenzie,,Supplier Relocations,,Independent,500PE00000m2tXpYAI,Unsegmented,,Less Than 365 Days,Less Than 365 Days,New Relocation,Independent,United States of America,,5-10 Years,"Kvarner, Croatia",Eastern Med and Central-Eastern Europe,EMEA,,,,,Property Overbooked,,Reportable Case,Non-SA,,,,,,,,Supervisor_AC_HP_Support,Milan,Orchidea,False,,,,,,,Relocation,AMERICAS,Basic,UNMAPPED,LPA,1780041,1,,,1,,English,1,1,Directed to Self Service,Operations_HP_Support,Supervisor_AC_HP_Support,Orchidea,,,0,0,,1,,0,0,1,,,0,0,0,,,,
7/27/2026 12:00:00 AM,Treehouse Hotel London (1),EMEA,Starwood Hotels MC,Hotel,"London, England",False,EMEA,UKIR London AMT,Conventional Lodging,Not Enabled,,,,LPS MO-Allocated,,Unknown,,Phone,Phone,Phone,,Partner Support,Call Transfer,Ghost Call,Call Assignment,False,False,False,English,156162155,Partner Support,Request Processed,Closed,0,Phone,,,,,,No,EC,Disconnected,SynXis CRS Community - Starwood Capital,Aven Hospitality (SynXis),BN,Unspecified,2026-07-30,7/30/2026,,,,Simone Pia,,Vendor Associate,No,N,False,False,,False,Mixed,Emilie McKenzie,UKIR London 4 AD MMA,Call Assignment,,Starwood Capital,,A,,Less Than 180 Days,Less Than 180 Days,Ghost Call,Starwood Capital,United Kingdom,Prime,>10 Years,London,"London, England",EMEA,,,,,(None Selected),,Reportable Case,Non-SA,,,,,,,,Voice_AC_HPO_IT_PRI_FIN_RLO,Milan,Orchidea,False,,,,,,,,,Call Assignment,T1,,1,1,4,,1,Prime,English,0,1,Call Transfer,Operations_HP_Support,Voice_AC_HPO_IT_PRI_FIN_RLO,Orchidea,,0,0,0,9,,,0,0,1,,,0,0.15,0,,,,
7/27/2026 12:00:00 AM,Bed & Breakfast Vicolo dell'Oste (4837070),EMEA,,Hotel,Italy and Malta,False,EMEA,PGA AM EMEA Hotel Italy AMT,Conventional Lodging,Not Enabled,,,,,,Unknown,,Phone,Phone,Phone,,Partner Support,Call Transfer,Ghost Call,Call Assignment,False,False,False,English,156078980,Partner Support,Request Processed,Closed,0,Phone,,,,,,No,EC,Disconnected,WuBook Srl,Wubook Srl,BN,Unspecified,2026-07-28,7/28/2026,,,,Nicolo Pedicini,Agent,Vendor Associate,No,N,False,False,,False,Mixed,Emilie McKenzie,PGA AM EMEA Hotel Italy MMA,Call Assignment,,Independent,,C,,Less Than 365 Days,Less Than 365 Days,Ghost Call,Independent,Italy,Classic,>10 Years,"Siena Province, Italy",Italy and Malta,EMEA,,,,,(None Selected),,Reportable Case,Non-SA,,,,,,,,Voice_AC_HPO_IT_PRI_FIN_RLO,Milan,Orchidea,False,,,,,,,,,Call Assignment,T1,,4837070,1,,,1,Classic,English,0,1,Call Transfer,Operations_HP_Support,Voice_AC_HPO_IT_PRI_FIN_RLO,Orchidea,,0,0,0,3.6,,,0,0,1,,,0,0.06,0,,,,
7/27/2026 12:00:00 AM,B&B Rosangela (9852187),EMEA,,Hotel,Italy and Malta,False,EMEA,PGA AM EMEA Hotel Italy AMT,Conventional Lodging,Not Enabled,,,,,,Unknown,,Phone,Phone,Phone,,Technical,Self Service not applicable,Supplier Initiated Traveler Contact,Supplier Initiated Traveler Contact,False,False,True,English,156248187,Technical,Request Processed,Closed,0,Phone,,,,,,No,,,,,,No Additional Support,2026-08-01,8/1/2026,,Manage Reservations,,Nicolo Pedicini,Agent,Vendor Associate,No,N,False,False,,False,TPSP Hotel Partner,Emilie McKenzie,PGA AM EMEA Hotel Italy MMA,Supplier Traveler Contact,,Independent,,C,,Less Than 365 Days,Less Than 365 Days,Traveler Contact,Independent,Italy,Classic,>10 Years,"Taormina, Italy",Italy and Malta,EMEA,,,,,Reservation Confirmation & Check-in Instructions,,Reportable Case,Non-SA,,,,,,,,Voice_AC_HPO_IT_PRI_FIN_RLO,Milan,Orchidea,False,,,,,,,Relocation,AMERICAS,Basic,UNMAPPED,LPA,9852187,1,3,,1,Classic,English,0,1,Self Service not applicable,Operations_HP_Support,Voice_AC_HPO_IT_PRI_FIN_RLO,Orchidea,,0,0,0,13.8,1,,0,0,1,,,0,0.23,0,,,,
7/27/2026 12:00:00 AM,Santa Ciriaca - Aghìa Kyriaki (120072504),EMEA,,Hotel,Italy and Malta,False,EMEA,PGA AM EMEA Hotel Italy AMT,Conventional Lodging,Not Enabled,,,,Vrbo,,Unknown,,Phone,Phone,Phone,,Technical,Self Service not applicable,Supplier Initiated Traveler Contact,Supplier Initiated Traveler Contact,False,False,True,English,156168635,Technical,Request Processed,Closed,0,Phone,,,,,,No,EQC,Connected,iReservation,,AR,No Additional Support,2026-07-30,7/30/2026,,Manage Reservations,,Francesco Carnevali,,Vendor Associate,No,N,False,False,,False,TPSP Hotel Partner,Emilie McKenzie,PGA AM EMEA Hotel Italy MMA,Supplier Traveler Contact,,Independent,,C,,Less Than 365 Days,Less Than 365 Days,Traveler Contact,Independent,Italy,Lite,6-12 Months,Tropea Coast,Italy and Malta,EMEA,,,,,Reservation Confirmation & Check-in Instructions,,Reportable Case,Non-SA,,,,,,,,Voice_AC_HPO_IT_PRI_FIN_RLO,Milan,Orchidea,False,,,,,,,Relocation,AMERICAS,Basic,UNMAPPED,LPA,120072504,1,,,1,Lite,English,0,1,Self Service not applicable,Operations_HP_Support,Voice_AC_HPO_IT_PRI_FIN_RLO,Orchidea,,0,0,0,13.8,1,,0,0,1,,,0,0.23,0,,,,
7/27/2026 12:00:00 AM,Garden Palace (115984356),EMEA,Michela Grillo MC,Hotel,Italy and Malta,False,EMEA,PGA AM EMEA Hotel Italy AMT,Conventional Lodging,Not Enabled,,,,,,Unknown,,Phone,Phone,Phone,,Traveler,Self Service not applicable,Supplier Relocation,Supplier Initiated Relocation,False,False,False,Italian,156077903,Traveler,Request Processed,Closed,0,Phone,,,,,,No,EQC,Disconnected,Vertical Booking,,AR,No Additional Support,2026-07-28,7/28/2026,,Manage Reservations,,Valentina Rozza,Agent,Vendor Associate,No,N,False,False,,False,TPSP Hotel Partner,Emilie McKenzie,PGA AM EMEA Hotel Italy MMA,Supplier Relocations,,Independent,,B,,Less Than 365 Days,Less Than 365 Days,New Relocation,Independent,Italy,Core,1-2 Years,"Rome, Italy",Italy and Malta,EMEA,,,,,Property Overbooked,,Reportable Case,Non-SA,,,,,,,,Voice_AC_HPO_IT_PRI_FIN_RLO,Milan,Orchidea,False,,,,,,,INBOUND CALLS,EMEA,Basic,UNMAPPED,LPA,115984356,1,,,1,Core,Italian,0,1,Self Service not applicable,Operations_HP_Support,Voice_AC_HPO_IT_PRI_FIN_RLO,Orchidea,,0,0,0,7.2,1,,0,0,1,,,0,0.12,0,0.3,,,
7/27/2026 12:00:00 AM,Casa Santo Nome di Gesù (17907720),EMEA,,Hotel,Italy and Malta,False,EMEA,"Italy - Venice, Florence & North East AMT",Conventional Lodging,Not Enabled,,,,LPS MO-Allocated,,Unknown,,Phone,Phone,Phone,,Lodging Financial Support,System/Policy explained,Expedia Virtual Card,EVC,False,False,False,Italian,156165389,Lodging Financial Support,Information/Training Provided,Closed,0,Phone,,,,,,No,EQC,Disconnected,LeoPortals Manager,Gestione Albergo Srl,BR,No Additional Support,2026-07-30,7/30/2026,,Manage Payments,,Simone Pia,,Vendor Associate,No,N,False,False,,False,TPSP Hotel Partner,Emilie McKenzie,"Italy - Ven, Flor & NE - 3 MMA",Finance Basic,,Independent,,B,,Less Than 180 Days,Less Than 180 Days,Invoice Dispute,Independent,Italy,Prime,5-10 Years,"Florence, Italy",Italy and Malta,EMEA,,,,,Reservation Amount Dispute,,Reportable Case,Non-SA,,,,,,,,Voice_AC_HPO_IT_PRI_FIN_RLO,Milan,Orchidea,False,,,,,,,INBOUND CALLS,EMEA,Basic,UNMAPPED,LPA,17907720,1,,,1,Prime,Italian,0,1,System/Policy explained,Operations_HP_Support,Voice_AC_HPO_IT_PRI_FIN_RLO,Orchidea,,0,0,0,4.8,1,,0,0,1,,,0,0.08,0,0.2,,,
7/27/2026 12:00:00 AM,Hotel Mega Mare (9847258),EMEA,,Hotel,Italy and Malta,False,EMEA,Italy - Southern Italy & Malta AMT,Conventional Lodging,Not Enabled,,,,,,Unknown,,Phone,Phone,Phone,,Technical,System/Policy explained,Booking Information Request,Booking Information,False,False,False,Italian,156177997,Technical,Information/Training Provided,Closed,0,Phone,,,,,,No,,,,,,No Additional Support,2026-07-30,7/30/2026,,,,Eros Allonato,Agent,Vendor Associate,No,N,False,False,,False,TPSP Hotel Partner,Emilie McKenzie,Italy - Southern Italy 5 MMA,Technical Basic,,Independent,,B,,Less Than 365 Days,Less Than 365 Days,Amenity Research,Independent,Italy,Prime,>10 Years,"Sorrento, Italy",Italy and Malta,EMEA,,,,,(None Selected),,Reportable Case,Non-SA,,,,,,,,Voice_AC_HPO_IT_PRI_FIN_RLO,Milan,Orchidea,False,,,,,,,INBOUND CALLS,EMEA,Basic,UNMAPPED,LPA,9847258,1,3,,1,Prime,Italian,0,1,System/Policy explained,Operations_HP_Support,Voice_AC_HPO_IT_PRI_FIN_RLO,Orchidea,,0,0,0,3.6,1,,0,0,1,,,0,0.06,0,0.15,,,
7/27/2026 12:00:00 AM,Hotel Il Faro di Molara (53813731),EMEA,VR_PM CERCAVACANCE SRL,Hotel,Italy and Malta,False,EMEA,PGA AM EMEA Hotel Italy AMT,Conventional Lodging,Not Enabled,,,,,,Unknown,,Phone,Phone,Phone,,Technical,System/Policy explained,Supplier Initiated Traveler Contact,Supplier Initiated Traveler Contact,False,True,True,Italian,156212611,Technical,Information/Training Provided,Closed,0,Phone,,,,,,No,EQC,Disconnected,MYGUESTCARE,My Company,BR,No Additional Support,2026-07-31,7/31/2026,,Manage Reservations,,Asia Chirullo,,Vendor Associate,No,N,False,False,,False,TPSP Hotel Partner,Emilie McKenzie,PGA AM EMEA Hotel Italy MMA,Supplier Traveler Contact,,Independent,,C,,Less Than 90 Days,Less Than 90 Days,Traveler Contact,Independent,Italy,Pro,5-10 Years,"Olbia, Italy",Italy and Malta,EMEA,,,,,Reservation Confirmation & Check-in Instructions,,Reportable Case,Non-SA,,,,,,,,Voice_AC_HPO_IT_PRI_FIN_RLO,Milan,Orchidea,False,,,,,,,INBOUND CALLS,EMEA,Basic,UNMAPPED,LPA,53813731,1,4,,1,Pro,Italian,0,1,System/Policy explained,Operations_HP_Support,Voice_AC_HPO_IT_PRI_FIN_RLO,Orchidea,,0,0,0,5.4,1,,0,0,1,,,0,0.09,0,0.225,,,
7/27/2026 12:00:00 AM,Oasi del Golfo Suites B&B (39521769),EMEA,,Hotel,Italy and Malta,False,EMEA,PGA AM EMEA Hotel Italy AMT,Conventional Lodging,Not Enabled,,,,Vrbo,,Unknown,,Phone,Phone,Phone,,Technical,Self Service not applicable,Supplier Initiated Traveler Contact,Supplier Initiated Traveler Contact,False,False,True,Italian,156023809,Technical,Request Processed,Closed,0,Phone,,,,,,No,EQC,Disconnected,WuBook Srl,Wubook Srl,BR,No Additional Support,2026-07-27,7/27/2026,,Manage Reservations,,Antonio Commisso,,Vendor Associate,No,N,False,False,,False,TPSP Hotel Partner,Emilie McKenzie,PGA AM EMEA Hotel Italy MMA,Supplier Traveler Contact,,Independent,,C,,Less Than 365 Days,Less Than 180 Days,Traveler Contact,Independent,Italy,Classic,5-10 Years,"San Vito Lo Capo, Italy",Italy and Malta,EMEA,,,,,Reservation Confirmation & Check-in Instructions,,Reportable Case,Non-SA,,R_81sPfVHONgZYI84,,,,,,Voice_AC_HPO_IT_PRI_FIN_RLO,Milan,Orchidea,False,,,,,,,INBOUND CALLS,EMEA,Basic,UNMAPPED,LPA,39521769,1,,,1,Classic,Italian,0,1,Self Service not applicable,Operations_HP_Support,Voice_AC_HPO_IT_PRI_FIN_RLO,Orchidea,,0,0,0,6,1,,0,0,1,,,0,0.1,0,0.25,1,100,
7/27/2026 12:00:00 AM,Alle Siepi (111331391),EMEA,VR_PM Giovanni Antoniou,Hotel,Italy and Malta,False,EMEA,PGA AM EMEA Hotel Italy AMT,Conventional Lodging,Not Enabled,,,,,,Unknown,,Phone,Phone,Phone,,Technical,Self Service not applicable,Supplier Initiated Traveler Contact,Supplier Initiated Traveler Contact,False,False,True,Italian,156029242,Technical,Request Processed,Closed,0,Phone,,,,,,No,EQC,Connected,Octorate,Octorate,AR,No Additional Support,2026-07-27,7/27/2026,,Manage Reservations,,Matteo Perrone,Agent,Vendor Associate,No,N,False,False,,False,TPSP Hotel Partner,Emilie McKenzie,PGA AM EMEA Hotel Italy MMA,Supplier Traveler Contact,,Independent,,C,,Less Than 365 Days,Less Than 365 Days,Traveler Contact,Independent,Italy,Lite,1-2 Years,"Emilia Cities, Italy",Italy and Malta,EMEA,,,,,Reservation Confirmation & Check-in Instructions,,Reportable Case,Non-SA,,,,,,,,Voice_AC_HPO_IT_PRI_FIN_RLO,Milan,Orchidea,False,,,,,,,INBOUND CALLS,EMEA,Basic,UNMAPPED,LPA,111331391,1,,,1,Lite,Italian,0,1,Self Service not applicable,Operations_HP_Support,Voice_AC_HPO_IT_PRI_FIN_RLO,Orchidea,,0,0,0,10.8,1,,0,0,1,,,0,0.18,0,0.45,,,
7/27/2026 12:00:00 AM,Domus San Martino (92147763),EMEA,,Hotel,Italy and Malta,False,EMEA,PGA AM EMEA Hotel Italy AMT,Conventional Lodging,Not Enabled,,,,LPS MO-Allocated,,Unknown,,Phone,Phone,Phone,,Traveler,Self Service not applicable,Supplier Relocation,Supplier Initiated Relocation,False,False,False,Italian,156222132,Traveler,Request Processed,Closed,0,Phone,,,,,,No,EQC,Connected,Slope,Slope,AR,No Additional Support,2026-07-31,7/31/2026,,Manage Reservations,,Alessandro Passariello,,Vendor Associate,No,N,False,False,,False,TPSP Hotel Partner,Emilie McKenzie,PGA AM EMEA Hotel Italy MMA,Supplier Relocations,,Independent,,C,,Less Than 180 Days,Less Than 180 Days,New Relocation,Independent,Italy,Classic,3-5 Years,"Emilia Cities, Italy",Italy and Malta,EMEA,,,,,Temporary Property Closure,,Reportable Case,Non-SA,,,,,,,,Voice_AC_HPO_IT_PRI_FIN_RLO,Milan,Orchidea,False,,,,,,,INBOUND CALLS,EMEA,Basic,UNMAPPED,LPA,92147763,1,,,1,Classic,Italian,0,1,Self Service not applicable,Operations_HP_Support,Voice_AC_HPO_IT_PRI_FIN_RLO,Orchidea,,0,0,0,9.6,1,,0,0,1,,,0,0.16,0,0.4,,,
7/27/2026 12:00:00 AM,Masseria Le Mandorle (120055084),EMEA,,Hotel,Italy and Malta,False,EMEA,PGA AM EMEA Hotel Italy AMT,Conventional Lodging,Not Enabled,,,,Vrbo,,Unknown,,Phone,Phone,Phone,,Traveler,Self Service not applicable,Supplier Relocation,Supplier Initiated Relocation,False,False,False,Italian,156032877,Traveler,Request Processed,Closed,0,Phone,,,,,,No,EQC,Connected,Myallocator,Cloudbeds,BR,No Additional Support,2026-07-27,7/27/2026,,Manage Reservations,,Francesco Carnevali,,Vendor Associate,No,N,False,False,,False,TPSP Hotel Partner,Emilie McKenzie,PGA AM EMEA Hotel Italy MMA,Supplier Relocations,,Independent,,C,,Less Than 365 Days,Less Than 180 Days,New Relocation,Independent,Italy,Classic,6-12 Months,"Salento, Apulia, Italy",Italy and Malta,EMEA,,,,,Property Overbooked,,Reportable Case,Non-SA,,,,,,,,Voice_AC_HPO_IT_PRI_FIN_RLO,Milan,Orchidea,False,,,,,,,INBOUND CALLS,EMEA,Basic,UNMAPPED,LPA,120055084,1,,,1,Classic,Italian,0,1,Self Service not applicable,Operations_HP_Support,Voice_AC_HPO_IT_PRI_FIN_RLO,Orchidea,,0,0,0,18,1,,0,0,1,,,0,0.3,0,0.75,,,
7/27/2026 12:00:00 AM,B&B Vinci (9817466),EMEA,,Hotel,Italy and Malta,False,EMEA,PGA AM EMEA Hotel Italy AMT,Conventional Lodging,Not Enabled,,,,LPS MO-Allocated,,Unknown,,Phone,Phone,Phone,,Technical,Self Service not applicable,Supplier Initiated Traveler Contact,Supplier Initiated Traveler Contact,False,False,True,Italian,156072915,Technical,Request Processed,Closed,0,Phone,,,,,,No,,,,,,No Additional Support,2026-07-28,7/28/2026,,Manage Reservations,,Simone Pia,,Vendor Associate,No,N,False,False,,False,TPSP Hotel Partner,Emilie McKenzie,PGA AM EMEA Hotel Italy MMA,Supplier Traveler Contact,,Independent,,C,,Less Than 180 Days,Less Than 180 Days,Traveler Contact,Independent,Italy,Classic,5-10 Years,"Syracuse (province), Italy",Italy and Malta,EMEA,,,,,Reservation Confirmation & Check-in Instructions,,Reportable Case,Non-SA,,,,,,,,Voice_AC_HPO_IT_PRI_FIN_RLO,Milan,Orchidea,False,,,,,,,INBOUND CALLS,EMEA,Basic,UNMAPPED,LPA,9817466,1,3,,1,Classic,Italian,0,1,Self Service not applicable,Operations_HP_Support,Voice_AC_HPO_IT_PRI_FIN_RLO,Orchidea,,0,0,0,5.4,1,,0,0,1,,,0,0.09,0,0.225,,,
7/27/2026 12:00:00 AM,Domus Dams B&B (25006810),EMEA,,Hotel,Italy and Malta,False,EMEA,PGA AM EMEA Hotel Italy AMT,Conventional Lodging,Not Enabled,,,,LPS MO-Allocated,,Unknown,,Phone,Phone,Phone,,Lodging Financial Support,System/Policy explained,Update to Taxes,Specialty Functions,False,False,False,Italian,156035282,Lodging Financial Support,Information/Training Provided,Closed,0,Phone,,,,,,No,,,,,,"Tax, Finance, and Startek",2026-07-27,7/27/2026,,Manage Payments,,Daniele Petrellese,,Vendor Associate,No,N,False,False,,False,TPSP Hotel Partner,Emilie McKenzie,PGA AM EMEA Hotel Italy MMA,Finance Advanced,,Independent,,C,,Less Than 180 Days,Less Than 180 Days,Tax Update Request,Independent,Italy,Lite,5-10 Years,"Basilicata, Italy",Italy and Malta,EMEA,,,,,Tax Update Request,,Reportable Case,Non-SA,,,,,,,,Voice_AC_HPO_IT_PRI_FIN_RLO,Milan,Orchidea,False,,,,,,,INBOUND CALLS,EMEA,Advanced,UNMAPPED,LPA,25006810,1,,,1,Lite,Italian,0,1,System/Policy explained,Operations_HP_Support,Voice_AC_HPO_IT_PRI_FIN_RLO,Orchidea,,0,0,0,13.2,1,,0,0,1,,,0,0.22,0,0.55,,,
